Sequence,Intermediate Abort ,,Safety Abort,,Other,,,,,,
,Sequence Name: AB1,,,,,,,,,,
,No.of Sensors: 0,,,No.of Valves: 5,,,,,,,
Sr. No.,Time CDT(ms),Component ID,Data Type,Condition,Range/Position,No of Samples for Pass,Event Duration(ms),Continuous /Cumulative,Expected Delay(ms),Failure Case Sequence,Current Sequence
1,,LOX_Motor,Drive,,OFF,,,,50,,A1
2,,ATF_Motor,Drive,,OFF,,,,50,,A1
3,,Spark plug,DO,,Close,,,,50,,A1
4,,G_EPV_70,DO,,Close,,,,800,,A1
5,,M_EPV_90,DO,,Close,,,,50,,A1
6,,C_EPV_11,DO,,Close,,,,50,,A1
7,,F_EPV_41,DO,,Close,,,,50,,A1
8,,C_EPV_14,DO,,Open,,,,50,,A1
9,,N_EPV_185,DO,,Open,,,,50,,A1
10,,N_EPV_138,DO,,Open,,,,50,,A1
11,,N_EPV_128,DO,,Open,,,,50,,A1
12,,N_EPV_174,DO,,Open,,,,10000,,A1
13,,N_EPV_185,DO,,Close,,,,50,,A1
14,,N_EPV_138,DO,,Close,,,,50,,A1
15,,N_EPV_128,DO,,Close,,,,50,,A1
16,,N_EPV_174,DO,,Close,,,,50,,A1
